"X1e2","X1e3","X1e4","X1e5","X1e6"
0.278605998489096,NA,0.170942484993511,NA,NA
0.297317041904685,0.163510211328375,0.165357674419418,0.151503388123287,NA
0.175742288261911,0.167845171832576,0.16615410871235,0.159683686295876,NA
NA,0.155690885284617,0.156685745922185,NA,0.149031489537246
NA,NA,NA,0.153023470710757,0.152573976630294
0.225038531089233,0.166836353798606,0.150504505282415,0.171634735824543,0.152122200653262
0.165214155242352,0.196813878697634,0.164275980029907,0.16108290564207,NA
0.176682032254801,0.181868011891318,0.158866018497949,0.149799010147203,NA
0.173898581569777,0.16324567823327,NA,0.155465255433933,NA
0.186079719342296,0.188976781837954,0.151204466128429,NA,0.166416887345376
0.233860669067817,0.183478596338884,0.153844473654314,0.167414842734634,0.158113534993194
0.25015628081365,NA,0.157562333991163,NA,NA
0.156780943820451,0.204886056912132,0.143463235702474,0.155889272031391,NA
0.189476309695035,0.189897779834948,0.168428938046846,0.1498930553322,0.169481418682307
0.184933610223766,0.161661632706169,0.162094656200299,NA,0.171730067300532
0.184462811794946,NA,NA,NA,NA
0.24560891850089,0.172740287031295,0.153046361635737,0.157755049898551,NA
0.265649277605419,0.178131460326676,0.169824607583725,NA,0.157116401969422
0.192420481769094,0.159774874543715,NA,NA,0.172621825466609
0.213284411668267,NA,0.157941751471839,0.170413305840316,0.165520989894816
0.221872188630184,0.13758172468883,0.151957033417388,0.157458409082776,NA
0.144413967161315,0.160203246654267,NA,0.164886050557991,NA
0.160050334404213,0.179670695373874,0.160734902329163,0.163523638873296,0.163203855861222
0.288805586240433,0.154980045281579,0.144605495772199,0.1616936078708,NA
0.164691737006042,0.166492834978272,0.158155200848837,0.165253587228159,NA
0.188032646145665,NA,NA,0.170748581605119,0.160185336774301
0.191986048293647,0.161211517001182,0.157870463404592,NA,0.160473905845377
0.198023960446516,0.159195712775725,0.161042639212153,NA,NA
0.206018182123153,0.183242997946129,NA,0.162378487017951,0.169161444890321
0.153985645524375,NA,0.167263966597376,0.157626741576643,NA
0.244272650599556,0.146482928948955,NA,NA,0.157241795879075
0.204488004996112,0.185916666657402,0.176399208231335,0.166086939215996,0.155746670074233
0.172964822935748,0.17683749122664,0.147643031044601,0.136409084373443,0.156784211054842
0.197196946611845,0.151908612669822,0.147194950104954,0.165784217934139,0.155891619812358
0.2010236111791,0.179987560870427,0.165521061002172,0.15412807602705,0.150887078931555
0.193815698973713,0.166453546384283,NA,0.171263689383044,0.153897021101638
0.214658298913789,0.173309264875179,NA,0.169415145020728,NA
0.157992789770672,0.148582740992411,0.162135135632429,0.160080390856844,NA
0.226628516786589,0.155786857648731,0.159908941638839,NA,NA
0.165628151100993,0.156257531697352,NA,NA,NA
0.235951101687534,NA,0.149309361660537,0.151581676917528,0.166957307808192
0.257641425444225,0.170051888822722,0.160211863864323,NA,0.15572615652857
0.160217835120069,0.167449865765384,0.166183444257912,0.160874080679487,0.159182798161041
NA,0.171793741094248,0.190285680759944,0.165241649957437,0.148022879177292
0.214950359484603,0.163006371608225,0.152287640011281,0.161303936735949,0.157802009576466
0.188759705487544,0.169012611206906,0.157147104052698,0.163729284455742,NA
0.238344021511917,0.148236542214388,NA,0.153998716530998,0.167824903097456
0.292950236961767,0.18210424525628,NA,0.155240803603138,0.164745773014542
0.157270083635192,0.165697769252915,0.167704551316614,0.160642912013167,0.154854145388898
0.168046066390609,0.135707007188762,0.142213960497731,0.15191431475362,0.165993756424642
0.208386321549863,0.201662200656884,NA,0.179302307103514,NA
0.221355468566341,0.143962653814617,NA,0.166695020818892,NA
0.183827544301499,0.155289258180327,0.156052139260808,NA,0.159976393498165
0.206779465095897,0.170454345125848,NA,NA,0.153667014195335
NA,0.153139550633349,0.167599340413273,0.168371188190893,0.163738411233461
0.265711965066139,0.166647717151583,0.169223327755089,0.154801462176641,0.169326970199841
0.255374723070193,0.186984692415673,0.165567311491748,NA,0.17300300873153
